p,size,error
0.5000000,100,0.4999200
0.5000000,200,0.4999700
0.5000000,500,0.4996500
0.5000000,1000,0.4975100
0.4500000,100,0.4644000
0.4500000,200,0.4669900
0.4500000,500,0.4620100
0.4500000,1000,0.4524000
0.4050000,100,0.4368400
0.4050000,200,0.4358100
0.4050000,500,0.4219900
0.4050000,1000,0.4127000
0.3645000,100,0.4110400
0.3645000,200,0.4068000
0.3645000,500,0.3887500
0.3645000,1000,0.3778400
0.3280500,100,0.3812600
0.3280500,200,0.3808500
0.3280500,500,0.3624100
0.3280500,1000,0.3467500
0.2952450,100,0.3574900
0.2952450,200,0.3552800
0.2952450,500,0.3277400
0.2952450,1000,0.3118100
0.2657205,100,0.3303100
0.2657205,200,0.3323600
0.2657205,500,0.3023800
0.2657205,1000,0.2827700
0.2391485,100,0.3082100
0.2391485,200,0.3093600
0.2391485,500,0.2765700
0.2391485,1000,0.2573800
0.2152336,100,0.2834200
0.2152336,200,0.2828700
0.2152336,500,0.2517900
0.2152336,1000,0.2305000
0.1937102,100,0.2592700
0.1937102,200,0.2601000
0.1937102,500,0.2290500
0.1937102,1000,0.2084100
0.1743392,100,0.2348000
0.1743392,200,0.2358400
0.1743392,500,0.2076200
0.1743392,1000,0.1823400
0.1569053,100,0.2081500
0.1569053,200,0.2133200
0.1569053,500,0.1865900
0.1569053,1000,0.1660900
0.1412148,100,0.1860600
0.1412148,200,0.1849500
0.1412148,500,0.1647800
0.1412148,1000,0.1432800
0.1270933,100,0.1666800
0.1270933,200,0.1688800
0.1270933,500,0.1474900
0.1270933,1000,0.1266300
0.1143840,100,0.1416700
0.1143840,200,0.1420800
0.1143840,500,0.1307900
0.1143840,1000,0.1082200
0.1029456,100,0.1185600
0.1029456,200,0.1223700
0.1029456,500,0.1167200
0.1029456,1000,0.0960500
0.0926510,100,0.1021900
0.0926510,200,0.1015500
0.0926510,500,0.0945400
0.0926510,1000,0.0817200
0.0833859,100,0.0825900
0.0833859,200,0.0810400
0.0833859,500,0.0801400
0.0833859,1000,0.0680600
0.0750473,100,0.0694500
0.0750473,200,0.0648200
0.0750473,500,0.0689200
0.0750473,1000,0.0589300
0.0675426,100,0.0556000
0.0675426,200,0.0533500
0.0675426,500,0.0500200
0.0675426,1000,0.0476200
0.0607883,100,0.0442200
0.0607883,200,0.0429000
0.0607883,500,0.0399800
0.0607883,1000,0.0398300
0.0547095,100,0.0356300
0.0547095,200,0.0334500
0.0547095,500,0.0305100
0.0547095,1000,0.0319000
0.0492385,100,0.0291200
0.0492385,200,0.0265600
0.0492385,500,0.0245800
0.0492385,1000,0.0225700
0.0443147,100,0.0258500
0.0443147,200,0.0196400
0.0443147,500,0.0182700
0.0443147,1000,0.0173300
0.0398832,100,0.0188800
0.0398832,200,0.0166500
0.0398832,500,0.0152600
0.0398832,1000,0.0141700
0.0358949,100,0.0164400
0.0358949,200,0.0130100
0.0358949,500,0.0106500
0.0358949,1000,0.0095100
0.0323054,100,0.0131400
0.0323054,200,0.0103800
0.0323054,500,0.0084800
0.0323054,1000,0.0075100
0.0290749,100,0.0110200
0.0290749,200,0.0075600
0.0290749,500,0.0066900
0.0290749,1000,0.0062000
0.0261674,100,0.0090600
0.0261674,200,0.0064900
0.0261674,500,0.0050400
0.0261674,1000,0.0047100
0.0235506,100,0.0086800
0.0235506,200,0.0062200
0.0235506,500,0.0044200
0.0235506,1000,0.0031500
0.0211956,100,0.0079100
0.0211956,200,0.0047300
0.0211956,500,0.0032600
0.0211956,1000,0.0025600
0.0190760,100,0.0061600
0.0190760,200,0.0040700
0.0190760,500,0.0027400
0.0190760,1000,0.0026900
0.0171684,100,0.0057100
0.0171684,200,0.0036100
0.0171684,500,0.0024700
0.0171684,1000,0.0018000
0.0154516,100,0.0051000
0.0154516,200,0.0036900
0.0154516,500,0.0019800
0.0154516,1000,0.0013100
0.0139064,100,0.0040000
0.0139064,200,0.0028300
0.0139064,500,0.0015600
0.0139064,1000,0.0009800
0.0125158,100,0.0040000
0.0125158,200,0.0030500
0.0125158,500,0.0016000
0.0125158,1000,0.0011600
0.0112642,100,0.0033400
0.0112642,200,0.0024100
0.0112642,500,0.0015000
0.0112642,1000,0.0010900
0.0101378,100,0.0029200
0.0101378,200,0.0025100
0.0101378,500,0.0012300
0.0101378,1000,0.0008900
0.0091240,100,0.0027300
0.0091240,200,0.0020700
0.0091240,500,0.0012900
0.0091240,1000,0.0008300
0.0082116,100,0.0026000
0.0082116,200,0.0018600
0.0082116,500,0.0012300
0.0082116,1000,0.0008600
0.0073904,100,0.0020500
0.0073904,200,0.0019600
0.0073904,500,0.0013000
0.0073904,1000,0.0007400